PassYardsAllowed|RushYardsAllowed|Touchdowns|Safeties|Interceptions|Fumbles
451|282|5|0|2|3
347|291|4|0|3|0
406|194|4|1|1|0
413|69|5|0|1|3
454|162|3|1|1|0
291|64|4|0|0|0
254|285|4|1|3|2
383|164|4|1|3|0
470|238|0|1|3|3
366|68|3|1|1|2
332|171|1|0|0|1
375|96|4|1|0|1
390|127|4|0|2|1
383|276|1|0|0|2
421|145|5|0|3|2
378|71|1|0|1|0
227|108|0|1|0|1
323|283|1|0|3|3
448|182|0|0|2|0
308|214|2|1|2|2
355|143|0|0|2|3
313|84|0|1|0|3
412|265|0|0|3|2
377|98|0|1|3|3
391|264|3|1|0|3
257|88|3|1|0|3
298|130|1|0|1|2
274|61|4|1|1|1
500|228|1|1|2|0
445|77|1|0|1|1
481|249|1|0|2|3
463|227|4|0|0|1
232|86|4|1|2|2
229|172|3|0|2|2
272|282|0|0|3|2
275|263|2|0|1|3
349|219|3|0|3|0
392|250|4|1|3|1
338|300|2|1|3|0
280|124|4|1|1|0
266|245|5|1|3|3
318|169|3|0|3|3
231|173|0|0|0|3
447|164|5|0|2|3
454|267|0|0|0|1
415|76|3|1|0|1
500|212|3|1|3|1
287|228|5|0|2|2
334|62|0|1|1|1
215|81|3|1|1|1
203|269|0|0|0|0
293|82|1|0|0|2
266|105|1|0|1|3
307|214|5|0|3|3
282|156|1|1|2|0
352|87|5|0|3|1
352|298|5|1|2|0
247|290|4|0|3|1
210|124|4|1|1|1
443|83|1|1|1|3
412|160|3|0|2|3
459|250|3|1|1|2
275|113|3|1|1|0
279|56|2|1|0|2
302|197|5|1|2|0
313|143|2|1|1|2
369|296|5|1|3|3
381|278|4|1|1|3
230|99|3|0|2|1
242|273|1|1|3|1
275|74|0|1|3|1
413|198|1|0|0|3
360|222|1|1|2|3
355|79|5|1|3|3
398|67|0|0|0|2
308|91|0|0|2|3
433|266|1|0|3|0
204|81|2|0|2|0
497|125|5|0|0|1
401|76|2|0|3|0
312|231|0|1|0|3
278|139|0|0|2|2
373|247|4|0|1|2
489|269|1|0|2|2
426|295|1|1|3|1
381|227|0|1|1|1
470|114|4|1|3|3
481|53|4|0|0|2
277|259|4|1|1|1
499|70|0|0|2|2
444|293|1|1|3|1
404|300|4|0|2|3
334|77|0|0|0|2
457|170|5|1|3|3
213|166|0|1|1|2
425|218|0|0|3|3
221|77|0|1|2|0
436|156|0|0|0|0
231|60|2|0|2|1
455|126|2|0|3|3
217|96|5|0|3|0
484|171|3|1|0|1
201|230|1|1|0|0
227|196|3|0|1|3
394|214|3|1|3|0
470|147|2|0|1|1
394|131|1|0|2|1
417|261|4|1|1|3
419|297|2|0|1|1
341|274|4|1|0|3
318|168|5|1|0|1
371|299|2|0|1|1
327|109|3|1|2|1
279|211|0|0|2|2
260|264|4|0|1|2
436|209|4|0|2|0
225|137|2|0|3|2
269|117|5|1|0|3
301|93|3|0|3|3
465|118|3|0|1|1
294|230|2|0|1|0
278|200|4|0|0|3
226|91|0|0|1|2
381|158|5|0|1|2
482|154|4|1|2|1
497|247|5|0|3|3
407|80|5|0|0|2
494|180|1|1|1|2
448|223|2|1|1|0
215|280|2|1|1|0
402|99|1|1|0|1
412|287|5|0|3|0
343|284|4|0|0|2
411|164|1|1|1|1
356|128|4|1|1|1
347|140|3|0|2|0
486|272|4|1|3|2
267|195|0|0|3|1
336|79|5|1|0|2
483|139|0|0|1|1
500|111|0|1|2|0
449|217|1|1|3|2
217|194|4|0|3|3
326|98|4|0|1|1
413|293|1|0|3|3
289|105|1|0|3|0
261|137|2|1|2|2
385|154|4|1|1|0
457|249|3|1|1|3
251|220|2|0|3|3
462|212|5|0|1|2
329|271|3|1|1|0
310|144|3|0|3|3
487|94|4|1|1|2
203|167|3|1|3|3
208|98|1|0|1|0
288|291|3|0|3|2
376|74|4|0|2|1
315|267|0|1|3|0
409|123|5|1|2|2
229|197|3|0|1|2
254|189|0|1|0|3
248|267|5|0|2|2
396|268|3|1|0|2
319|288|4|1|2|1
285|235|5|1|1|2
313|185|3|0|2|0
412|69|1|1|0|2
292|67|3|0|1|3
402|123|4|0|1|2
245|265|5|1|0|2
312|292|5|1|2|0
413|162|1|0|0|3
460|262|5|1|2|3
454|130|2|1|3|2
391|173|5|1|3|1
485|123|3|1|2|2
415|203|1|0|3|3
444|64|1|1|1|0
332|265|0|1|3|3
443|241|5|1|1|3
443|200|2|0|3|3
300|255|4|1|3|3
405|297|2|0|1|2
