PassYards|RushYards|ReceivingYards|Receptions|Touchdowns|Interceptions|Fumbles|Position
200|139|25|1|3.39|0|1|QB
415|145|0|0|5.6|1|0|QB
227|173|25|1|4|3|1|QB
467|26|0|0|4.93|1|1|QB
143|86|0|0|2.29|2|0|QB
191|144|25|1|3.35|1|0|QB
137|139|0|0|2.76|3|0|QB
303|102|0|0|4.05|3|0|QB
149|87|0|0|2.36|3|0|QB
444|11|0|0|4.55|2|1|QB
299|177|25|1|4.76|1|1|QB
471|39|25|1|5.1|1|0|QB
138|103|25|1|2.41|3|1|QB
206|197|0|0|4.03|3|1|QB
361|94|25|1|4.55|1|0|QB
283|159|25|1|4.42|3|1|QB
356|58|25|1|4.14|0|0|QB
475|92|25|1|5.67|0|0|QB
318|65|25|1|3.83|2|0|QB
275|184|25|1|4.59|1|0|QB
196|11|25|1|2.07|2|0|QB
329|15|0|0|3.44|3|1|QB
235|139|25|1|3.74|3|0|QB
264|107|0|0|3.71|1|0|QB
302|51|0|0|3.53|3|0|QB
439|4|0|0|4.43|1|0|QB
393|159|0|0|5.52|0|1|QB
225|159|0|0|3.84|3|0|QB
387|178|0|0|5.65|3|0|QB
315|158|0|0|4.73|2|1|QB
169|161|0|0|3.3|3|0|QB
188|-10|0|0|1.78|3|0|QB
499|196|0|0|6.95|1|0|QB
140|79|0|0|2.19|1|0|QB
334|183|0|0|5.17|1|0|QB
161|45|0|0|2.06|2|0|QB
415|-9|25|1|4.06|1|1|QB
362|75|0|0|4.37|2|1|QB
286|94|0|0|3.8|1|0|QB
329|177|25|1|5.06|1|0|QB
414|62|0|0|4.76|0|0|QB
495|143|25|1|6.38|3|1|QB
470|128|25|1|5.98|1|1|QB
162|176|25|1|3.38|1|0|QB
335|146|0|0|4.81|3|1|QB
389|63|25|1|4.52|3|1|QB
192|184|25|1|3.76|2|0|QB
447|27|25|1|4.74|1|1|QB
474|33|0|0|5.07|3|0|QB
129|47|25|1|1.76|0|1|QB
195|-2|0|0|1.93|3|0|QB
471|199|0|0|6.7|1|1|QB
328|132|25|1|4.6|0|0|QB
437|15|0|0|4.52|0|0|QB
463|52|0|0|5.15|2|0|QB
386|182|25|1|5.68|1|1|QB
455|133|25|1|5.88|2|1|QB
482|160|25|1|6.42|3|0|QB
334|169|25|1|5.03|2|1|QB
420|42|25|1|4.62|3|1|QB
253|42|25|1|2.95|0|1|QB
114|50|0|0|1.64|3|0|QB
440|42|0|0|4.82|1|1|QB
440|-7|25|1|4.33|2|0|QB
276|33|0|0|3.09|1|0|QB
322|65|25|1|3.87|0|0|QB
474|96|0|0|5.7|1|0|QB
480|87|0|0|5.67|3|0|QB
112|90|25|1|2.02|3|1|QB
410|165|0|0|5.75|3|0|QB
135|12|0|0|1.47|1|1|QB
358|162|0|0|5.2|3|1|QB
110|109|25|1|2.19|1|0|QB
365|-8|0|0|3.57|1|0|QB
228|198|0|0|4.26|1|0|QB
