PassYards|RushYards|ReceivingYards|Receptions|Touchdowns|Interceptions|Fumbles|Position
0|167|51|6|3|0|1|RB
0|154|55|7|3|0|1|RB
0|184|46|6|3|0|1|RB
0|109|12|2|2|0|1|RB
0|82|88|11|2|0|1|RB
0|167|17|2|3|0|0|RB
0|188|85|11|4|0|0|RB
0|87|33|4|2|0|1|RB
0|191|8|1|3|0|1|RB
0|81|88|11|2|0|1|RB
0|184|20|2|3|0|0|RB
0|121|1|0|2|0|1|RB
0|58|80|10|2|0|0|RB
0|143|4|0|2|0|1|RB
0|127|15|2|2|0|1|RB
0|114|60|8|2|0|0|RB
0|179|15|2|3|0|1|RB
0|219|23|3|3|0|1|RB
0|182|26|3|3|0|0|RB
0|206|40|5|4|0|1|RB
0|149|55|7|3|0|1|RB
0|51|6|1|1|0|0|RB
0|93|94|12|3|0|0|RB
0|166|31|4|3|0|0|RB
0|140|19|2|2|0|1|RB
0|211|16|2|3|0|1|RB
0|89|88|11|3|0|0|RB
0|105|74|9|3|0|1|RB
0|93|15|2|2|0|1|RB
0|64|95|12|2|0|1|RB
0|217|72|9|4|0|0|RB
0|75|51|6|2|0|1|RB
0|204|45|6|4|0|0|RB
0|91|29|4|2|0|1|RB
0|133|91|11|3|0|1|RB
0|65|87|11|2|0|0|RB
0|210|52|6|4|0|1|RB
0|92|57|7|2|0|0|RB
0|194|21|3|3|0|0|RB
0|50|52|6|1|0|1|RB
0|97|4|0|1|0|0|RB
0|96|96|12|3|0|0|RB
0|213|29|4|3|0|0|RB
0|150|15|2|2|0|1|RB
0|135|6|1|2|0|0|RB
0|147|58|7|3|0|0|RB
0|153|32|4|3|0|0|RB
0|92|25|3|2|0|0|RB
0|66|74|9|2|0|1|RB
0|197|25|3|3|0|0|RB
0|142|25|3|2|0|0|RB
0|171|59|7|3|0|0|RB
0|130|0|0|2|0|0|RB
0|76|75|9|2|0|1|RB
0|169|36|4|3|0|0|RB
0|198|97|12|4|0|0|RB
0|141|89|11|3|0|0|RB
0|143|79|10|3|0|0|RB
0|208|53|7|4|0|1|RB
0|64|19|2|1|0|1|RB
0|84|43|5|2|0|0|RB
0|161|54|7|3|0|0|RB
0|184|23|3|3|0|0|RB
0|56|18|2|1|0|1|RB
0|161|49|6|3|0|0|RB
0|220|61|8|4|0|1|RB
0|121|64|8|3|0|1|RB
0|168|98|12|4|0|1|RB
0|174|3|0|3|0|1|RB
0|128|80|10|3|0|0|RB
0|200|63|8|4|0|1|RB
0|99|9|1|2|0|1|RB
0|202|36|4|3|0|1|RB
0|209|76|10|4|0|1|RB
0|145|18|2|2|0|0|RB
0|172|82|10|4|0|0|RB
0|86|72|9|2|0|0|RB
0|52|66|8|2|0|0|RB
0|179|33|4|3|0|1|RB
0|144|4|0|2|0|1|RB
0|202|94|12|4|0|1|RB
0|224|21|3|4|0|0|RB
0|184|8|1|3|0|1|RB
0|93|48|6|2|0|1|RB
0|146|75|9|3|0|0|RB
0|97|61|8|2|0|1|RB
0|91|77|10|2|0|1|RB
0|147|23|3|2|0|1|RB
0|51|15|2|1|0|0|RB
0|108|20|2|2|0|1|RB
0|97|57|7|2|0|1|RB
0|58|72|9|2|0|1|RB
0|87|43|5|2|0|1|RB
0|106|10|1|2|0|0|RB
0|217|40|5|4|0|1|RB
0|193|29|4|3|0|0|RB
0|83|64|8|2|0|0|RB
0|77|37|5|2|0|1|RB
0|74|15|2|1|0|1|RB
0|191|20|2|3|0|1|RB
0|221|2|0|3|0|0|RB
0|135|61|8|3|0|0|RB
0|223|43|5|4|0|1|RB
0|156|37|5|3|0|1|RB
0|60|42|5|1|0|1|RB
0|170|72|9|3|0|0|RB
0|77|93|12|2|0|0|RB
0|174|90|11|4|0|0|RB
0|216|29|4|4|0|1|RB
0|57|29|4|1|0|0|RB
0|168|39|5|3|0|1|RB
0|145|23|3|2|0|1|RB
0|125|22|3|2|0|0|RB
0|183|71|9|4|0|0|RB
0|132|2|0|2|0|0|RB
0|126|80|10|3|0|0|RB
0|207|72|9|4|0|1|RB
0|114|72|9|3|0|0|RB
0|180|90|11|4|0|0|RB
0|60|90|11|2|0|1|RB
0|170|26|3|3|0|0|RB
0|163|94|12|4|0|1|RB
0|120|51|6|2|0|0|RB
0|139|8|1|2|0|1|RB
0|163|16|2|3|0|1|RB
0|111|23|3|2|0|0|RB
0|145|0|0|2|0|1|RB
0|200|17|2|3|0|1|RB
0|189|88|11|4|0|0|RB
0|143|58|7|3|0|1|RB
0|113|99|12|3|0|0|RB
0|107|66|8|2|0|0|RB
0|99|93|12|3|0|0|RB
0|164|57|7|3|0|0|RB
0|148|61|8|3|0|0|RB
0|93|16|2|2|0|0|RB
0|212|76|10|4|0|0|RB
0|75|33|4|2|0|0|RB
0|211|26|3|3|0|1|RB
0|150|45|6|3|0|1|RB
0|172|83|10|4|0|1|RB
0|203|29|4|3|0|1|RB
0|182|56|7|3|0|1|RB
0|67|80|10|2|0|1|RB
0|215|11|1|3|0|1|RB
0|117|1|0|2|0|1|RB
0|184|49|6|3|0|0|RB
0|205|91|11|4|0|0|RB
0|186|12|2|3|0|1|RB
0|218|17|2|3|0|1|RB
0|156|86|11|3|0|0|RB
0|145|96|12|3|0|1|RB
0|55|79|10|2|0|0|RB
0|195|50|6|4|0|1|RB
0|136|69|9|3|0|0|RB
0|133|52|6|3|0|0|RB
0|178|7|1|3|0|1|RB
0|78|62|8|2|0|1|RB
0|57|4|0|1|0|1|RB
0|145|40|5|3|0|0|RB
0|200|74|9|4|0|0|RB
0|197|100|12|4|0|1|RB
0|188|67|8|4|0|0|RB
0|135|84|10|3|0|0|RB
0|87|74|9|2|0|1|RB
0|80|73|9|2|0|0|RB
0|121|53|7|2|0|0|RB
0|72|45|6|2|0|0|RB
0|168|29|4|3|0|1|RB
0|84|14|2|1|0|0|RB
0|191|80|10|4|0|1|RB
0|172|26|3|3|0|1|RB
0|67|3|0|1|0|0|RB
0|196|50|6|4|0|1|RB
0|178|22|3|3|0|0|RB
0|79|84|10|2|0|0|RB
0|155|35|4|3|0|1|RB
0|90|30|4|2|0|0|RB
0|51|76|10|2|0|1|RB
0|112|28|4|2|0|1|RB
0|113|26|3|2|0|0|RB
0|91|4|0|1|0|0|RB
0|150|1|0|2|0|0|RB
0|156|75|9|3|0|1|RB
0|54|39|5|1|0|0|RB
0|168|59|7|3|0|1|RB
0|86|41|5|2|0|0|RB
0|174|97|12|4|0|1|RB
0|120|59|7|3|0|0|RB
0|101|99|12|3|0|1|RB
0|211|16|2|3|0|1|RB
0|75|70|9|2|0|1|RB
0|220|99|12|5|0|0|RB
0|110|56|7|2|0|0|RB
0|168|72|9|3|0|1|RB
0|86|32|4|2|0|0|RB
0|79|15|2|1|0|0|RB
0|127|37|5|2|0|0|RB
0|103|64|8|2|0|0|RB
0|149|20|2|2|0|1|RB
0|108|33|4|2|0|1|RB
0|110|70|9|3|0|0|RB
0|111|35|4|2|0|0|RB
0|188|22|3|3|0|0|RB
0|175|49|6|3|0|1|RB
0|64|56|7|2|0|1|RB
0|189|23|3|3|0|0|RB
0|166|69|9|3|0|0|RB
0|83|25|3|2|0|1|RB
0|184|93|12|4|0|0|RB
0|177|27|3|3|0|1|RB
