PassYards|RushYards|ReceivingYards|Receptions|Touchdowns|Interceptions|Fumbles|Position
0|0|92|12|2|0|0|WR
0|0|194|24|3|0|0|WR
0|0|205|26|3|0|0|WR
0|0|175|22|3|0|0|WR
0|0|184|23|3|0|0|WR
0|0|154|19|3|0|0|WR
0|0|151|19|3|0|0|WR
0|0|89|11|1|0|0|WR
0|0|46|6|1|0|0|WR
0|0|191|24|3|0|0|WR
0|0|128|16|2|0|0|WR
0|0|95|12|2|0|0|WR
0|0|105|13|2|0|0|WR
0|0|144|18|2|0|0|WR
0|0|213|27|4|0|0|WR
0|0|191|24|3|0|0|WR
0|0|88|11|1|0|0|WR
0|0|178|22|3|0|0|WR
0|0|167|21|3|0|0|WR
0|0|133|17|2|0|0|WR
0|0|104|13|2|0|0|WR
0|0|22|3|0|0|0|WR
0|0|186|23|3|0|0|WR
0|0|116|14|2|0|0|WR
0|0|31|4|1|0|0|WR
0|0|143|18|2|0|0|WR
0|0|20|2|0|0|0|WR
0|0|178|22|3|0|0|WR
0|0|212|26|4|0|0|WR
0|0|150|19|2|0|0|WR
0|0|157|20|3|0|0|WR
0|0|22|3|0|0|0|WR
0|0|59|7|1|0|0|WR
0|0|133|17|2|0|0|WR
0|0|74|9|1|0|0|WR
0|0|117|15|2|0|0|WR
0|0|201|25|3|0|0|WR
0|0|170|21|3|0|0|WR
0|0|70|9|1|0|0|WR
0|0|138|17|2|0|0|WR
0|0|159|20|3|0|0|WR
0|0|184|23|3|0|0|WR
0|0|227|28|4|0|0|WR
0|0|80|10|1|0|0|WR
0|0|178|22|3|0|0|WR
0|0|200|25|3|0|0|WR
0|0|214|27|4|0|0|WR
0|0|41|5|1|0|0|WR
0|0|202|25|3|0|0|WR
0|0|173|22|3|0|0|WR
0|0|137|17|2|0|0|WR
0|0|108|14|2|0|0|WR
0|0|119|15|2|0|0|WR
0|0|76|10|1|0|0|WR
0|0|71|9|1|0|0|WR
0|0|90|11|2|0|0|WR
0|0|64|8|1|0|0|WR
0|0|202|25|3|0|0|WR
0|0|207|26|3|0|0|WR
0|0|214|27|4|0|0|WR
0|0|159|20|3|0|0|WR
0|0|217|27|4|0|0|WR
0|0|212|26|4|0|0|WR
0|0|68|8|1|0|0|WR
0|0|139|17|2|0|0|WR
0|0|27|3|0|0|0|WR
0|0|229|29|4|0|0|WR
0|0|97|12|2|0|0|WR
0|0|40|5|1|0|0|WR
0|0|213|27|4|0|0|WR
0|0|228|28|4|0|0|WR
0|0|22|3|0|0|0|WR
0|0|164|20|3|0|0|WR
0|0|224|28|4|0|0|WR
0|0|20|2|0|0|0|WR
0|0|194|24|3|0|0|WR
0|0|176|22|3|0|0|WR
0|0|210|26|4|0|0|WR
0|0|150|19|2|0|0|WR
0|0|163|20|3|0|0|WR
0|0|54|7|1|0|0|WR
0|0|70|9|1|0|0|WR
0|0|163|20|3|0|0|WR
0|0|109|14|2|0|0|WR
0|0|90|11|2|0|0|WR
0|0|206|26|3|0|0|WR
0|0|158|20|3|0|0|WR
0|0|212|26|4|0|0|WR
0|0|25|3|0|0|0|WR
0|0|88|11|1|0|0|WR
0|0|39|5|1|0|0|WR
0|0|67|8|1|0|0|WR
0|0|136|17|2|0|0|WR
0|0|153|19|3|0|0|WR
0|0|129|16|2|0|0|WR
0|0|228|28|4|0|0|WR
0|0|133|17|2|0|0|WR
0|0|152|19|3|0|0|WR
0|0|113|14|2|0|0|WR
0|0|106|13|2|0|0|WR
0|0|26|3|0|0|0|WR
0|0|199|25|3|0|0|WR
0|0|165|21|3|0|0|WR
0|0|66|8|1|0|0|WR
0|0|112|14|2|0|0|WR
0|0|125|16|2|0|0|WR
0|0|164|20|3|0|0|WR
0|0|198|25|3|0|0|WR
0|0|36|4|1|0|0|WR
0|0|124|16|2|0|0|WR
0|0|114|14|2|0|0|WR
0|0|27|3|0|0|0|WR
0|0|200|25|3|0|0|WR
0|0|148|18|2|0|0|WR
0|0|223|28|4|0|0|WR
0|0|196|24|3|0|0|WR
0|0|132|16|2|0|0|WR
0|0|173|22|3|0|0|WR
0|0|66|8|1|0|0|WR
0|0|53|7|1|0|0|WR
0|0|119|15|2|0|0|WR
0|0|24|3|0|0|0|WR
0|0|69|9|1|0|0|WR
0|0|179|22|3|0|0|WR
0|0|82|10|1|0|0|WR
0|0|191|24|3|0|0|WR
0|0|102|13|2|0|0|WR
0|0|167|21|3|0|0|WR
0|0|126|16|2|0|0|WR
0|0|126|16|2|0|0|WR
0|0|145|18|2|0|0|WR
0|0|101|13|2|0|0|WR
0|0|84|10|1|0|0|WR
0|0|148|18|2|0|0|WR
0|0|59|7|1|0|0|WR
0|0|225|28|4|0|0|WR
0|0|153|19|3|0|0|WR
0|0|162|20|3|0|0|WR
0|0|61|8|1|0|0|WR
0|0|190|24|3|0|0|WR
0|0|177|22|3|0|0|WR
0|0|220|28|4|0|0|WR
0|0|188|24|3|0|0|WR
0|0|140|18|2|0|0|WR
0|0|129|16|2|0|0|WR
0|0|158|20|3|0|0|WR
0|0|69|9|1|0|0|WR
0|0|215|27|4|0|0|WR
0|0|91|11|2|0|0|WR
0|0|148|18|2|0|0|WR
0|0|49|6|1|0|0|WR
0|0|92|12|2|0|0|WR
0|0|83|10|1|0|0|WR
0|0|53|7|1|0|0|WR
0|0|129|16|2|0|0|WR
0|0|225|28|4|0|0|WR
0|0|205|26|3|0|0|WR
0|0|83|10|1|0|0|WR
0|0|102|13|2|0|0|WR
0|0|165|21|3|0|0|WR
0|0|220|28|4|0|0|WR
0|0|194|24|3|0|0|WR
0|0|169|21|3|0|0|WR
0|0|228|28|4|0|0|WR
0|0|76|10|1|0|0|WR
0|0|157|20|3|0|0|WR
0|0|89|11|1|0|0|WR
0|0|21|3|0|0|0|WR
0|0|156|20|3|0|0|WR
0|0|133|17|2|0|0|WR
0|0|52|6|1|0|0|WR
0|0|152|19|3|0|0|WR
0|0|210|26|4|0|0|WR
0|0|206|26|3|0|0|WR
0|0|47|6|1|0|0|WR
0|0|71|9|1|0|0|WR
0|0|55|7|1|0|0|WR
0|0|119|15|2|0|0|WR
0|0|84|10|1|0|0|WR
0|0|50|6|1|0|0|WR
0|0|111|14|2|0|0|WR
0|0|31|4|1|0|0|WR
0|0|120|15|2|0|0|WR
0|0|73|9|1|0|0|WR
0|0|33|4|1|0|0|WR
0|0|148|18|2|0|0|WR
0|0|178|22|3|0|0|WR
0|0|134|17|2|0|0|WR
0|0|36|4|1|0|0|WR
