PassYards|RushYards|ReceivingYards|Receptions|Touchdowns|Interceptions|Fumbles|Position
200|139|25|1|3|0|1|QB
415|145|0|0|6|1|0|QB
227|173|25|1|4|3|1|QB
467|26|0|0|5|1|1|QB
143|86|0|0|2|2|0|QB
191|144|25|1|3|1|0|QB
137|139|0|0|3|3|0|QB
303|102|0|0|4|3|0|QB
149|87|0|0|2|3|0|QB
444|11|0|0|5|2|1|QB
299|177|25|1|5|1|1|QB
471|39|25|1|5|1|0|QB
138|103|25|1|2|3|1|QB
206|197|0|0|4|3|1|QB
361|94|25|1|5|1|0|QB
283|159|25|1|4|3|1|QB
356|58|25|1|4|0|0|QB
475|92|25|1|6|0|0|QB
318|65|25|1|4|2|0|QB
275|184|25|1|5|1|0|QB
196|11|25|1|2|2|0|QB
329|15|0|0|3|3|1|QB
235|139|25|1|4|3|0|QB
264|107|0|0|4|1|0|QB
302|51|0|0|4|3|0|QB
439|4|0|0|4|1|0|QB
393|159|0|0|6|0|1|QB
225|159|0|0|4|3|0|QB
387|178|0|0|6|3|0|QB
315|158|0|0|5|2|1|QB
169|161|0|0|3|3|0|QB
188|-10|0|0|2|3|0|QB
499|196|0|0|7|1|0|QB
140|79|0|0|2|1|0|QB
334|183|0|0|5|1|0|QB
161|45|0|0|2|2|0|QB
415|-9|25|1|4|1|1|QB
362|75|0|0|4|2|1|QB
286|94|0|0|4|1|0|QB
329|177|25|1|5|1|0|QB
414|62|0|0|5|0|0|QB
495|143|25|1|6|3|1|QB
470|128|25|1|6|1|1|QB
162|176|25|1|3|1|0|QB
335|146|0|0|5|3|1|QB
389|63|25|1|5|3|1|QB
192|184|25|1|4|2|0|QB
447|27|25|1|5|1|1|QB
474|33|0|0|5|3|0|QB
129|47|25|1|2|0|1|QB
195|-2|0|0|2|3|0|QB
471|199|0|0|7|1|1|QB
328|132|25|1|5|0|0|QB
437|15|0|0|5|0|0|QB
463|52|0|0|5|2|0|QB
386|182|25|1|6|1|1|QB
455|133|25|1|6|2|1|QB
482|160|25|1|6|3|0|QB
334|169|25|1|5|2|1|QB
420|42|25|1|5|3|1|QB
253|42|25|1|3|0|1|QB
114|50|0|0|2|3|0|QB
440|42|0|0|5|1|1|QB
440|-7|25|1|4|2|0|QB
276|33|0|0|3|1|0|QB
322|65|25|1|4|0|0|QB
474|96|0|0|6|1|0|QB
480|87|0|0|6|3|0|QB
112|90|25|1|2|3|1|QB
410|165|0|0|6|3|0|QB
135|12|0|0|1|1|1|QB
358|162|0|0|5|3|1|QB
110|109|25|1|2|1|0|QB
365|-8|0|0|4|1|0|QB
228|198|0|0|4|1|0|QB
472|134|25|1|6|1|0|QB
248|33|0|0|3|2|0|QB
255|164|0|0|4|2|1|QB
287|169|0|0|5|2|0|QB
134|131|25|1|3|2|0|QB
355|189|25|1|5|0|0|QB
103|99|0|0|2|0|1|QB
339|24|25|1|4|3|0|QB
269|103|0|0|4|0|1|QB
454|61|0|0|5|1|1|QB
276|105|0|0|4|2|0|QB
445|132|25|1|6|3|0|QB
457|15|0|0|5|3|0|QB
244|142|25|1|4|0|1|QB
249|161|0|0|4|2|1|QB
402|148|25|1|6|2|0|QB
323|163|25|1|5|3|0|QB
382|144|25|1|5|3|1|QB
499|111|25|1|6|3|1|QB
419|71|25|1|5|0|0|QB
296|192|25|1|5|2|1|QB
363|-6|0|0|4|0|1|QB
370|7|25|1|4|2|0|QB
376|4|25|1|4|1|1|QB
210|6|25|1|2|0|1|QB
323|1|0|0|3|3|1|QB
415|92|25|1|5|1|1|QB
363|183|0|0|5|1|0|QB
143|114|25|1|3|3|1|QB
331|188|0|0|5|2|1|QB
489|84|0|0|6|2|0|QB
479|78|0|0|6|0|1|QB
443|113|25|1|6|2|0|QB
454|-8|0|0|4|1|0|QB
191|68|25|1|3|2|1|QB
201|30|0|0|2|2|1|QB
211|123|0|0|3|0|1|QB
437|25|0|0|5|1|0|QB
106|34|25|1|1|1|0|QB
416|42|25|1|5|0|0|QB
371|21|0|0|4|0|0|QB
328|14|25|1|3|0|1|QB
215|123|0|0|3|0|0|QB
263|134|25|1|4|0|1|QB
300|47|0|0|3|0|1|QB
406|126|0|0|5|2|1|QB
152|127|25|1|3|2|1|QB
171|2|0|0|2|0|0|QB
371|85|0|0|5|3|0|QB
357|16|0|0|4|2|1|QB
184|110|0|0|3|3|1|QB
253|65|25|1|3|1|0|QB
169|165|0|0|3|0|1|QB
152|118|25|1|3|0|0|QB
299|54|25|1|4|2|1|QB
480|184|25|1|7|1|0|QB
325|173|0|0|5|0|1|QB
324|46|0|0|4|3|0|QB
393|188|25|1|6|1|1|QB
336|33|0|0|4|3|1|QB
395|12|0|0|4|3|0|QB
468|3|25|1|5|0|0|QB
228|91|0|0|3|2|0|QB
259|81|25|1|3|2|1|QB
425|29|25|1|5|2|1|QB
445|-2|25|1|4|1|0|QB
370|133|0|0|5|1|1|QB
113|109|25|1|2|1|0|QB
225|-9|25|1|2|0|1|QB
361|27|25|1|4|0|0|QB
168|130|0|0|3|1|1|QB
404|166|0|0|6|2|1|QB
167|175|0|0|3|2|1|QB
205|28|0|0|2|1|1|QB
488|102|0|0|6|3|1|QB
354|80|25|1|4|2|0|QB
